location,Latitude,Longitude
"Al Noor Building 2, Al Nahda 2, Al Nahda (Dubai), Dubai",25.296878,55.378326
"Joya Verde Residences, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25.0660797,55.2122686
"Jash Falqa, Shoreline Apartments, Palm Jumeirah, Dubai",25.1087143,55.1484084
"Reem, Arabian Ranches 2, Dubai",25.032479,55.2757617
"Al Andalus Tower B, Al Andalus, Jumeirah Golf Estates, Dubai",25.0297119,55.2058737
"ARY Marina View, Dubai Marina, Dubai",25.0792439,55.1427251
"Jumeirah Islands Townhouses, Jumeirah Islands, Dubai",25.0653705,55.1482543
"J One, Business Bay, Dubai",25.1861077,55.2833631
"Joy, Arabian Ranches 3, Dubai",25.0628554,55.3187774
"Belgravia 2, Belgravia, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25.0617417,55.2123317
"Fox Hill 9, Fox Hill, Uptown Motor City, Motor City, Dubai",25.0480672,55.2472423
"1 Residences Building 1, 1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",25.2338088,55.2945389
"Oxford Boulevard, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.0588658,55.1995612
"Bermuda Views, Dubai Sports City, Dubai",25.0315322,55.2235759
"Tower A, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",25.1831647,55.272887
"Marina Sail, Dubai Marina, Dubai",25.0714783,55.1351572
"Lolena Residence, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25.0571625,55.2136139
"Azizi Riviera 13, Azizi Riviera, Meydan One, Meydan City, Dubai",25.171806,55.3010574
"Evershine Gardens, Arjan, Dubai",25.0611428,55.2456884
"Vincitore Palacio, Arjan, Dubai",25.0658543,55.2331887
"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",25.0867931,55.1475512
"Sunset at Creek Beach, Dubai Creek Harbour, Dubai",25.2017341,55.3489566
"Forat, The Lakes, Dubai",25.0779966,55.1682841
"Maple 1, Maple, Dubai Hills Estate, Dubai",25.093101,55.2524704
"Sadaf 6, Sadaf, Jumeirah Beach Residence (JBR), Dubai",25.0809595,55.1373993
"Al Samar 4, Al Samar, The Greens, Dubai",25.0924378,55.1731132
"Sandoval Garden Block A, Sandoval Garden, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0573931,55.2060997
"Lehweih Community, Al Raha Gardens, Abu Dhabi",24.4406212,54.5961306
"Burj Khalifa, Downtown Dubai, Dubai",25.1949849,55.2784141
"Creekside 18 Tower A, Creekside 18, Dubai Creek Harbour, Dubai",25.2044563,55.3451087
"Camelia, Arabian Ranches 2, Dubai",25.0339049,55.2779655
"Townhouse Area, Green Community East, Green Community, Dubai",25.0053775,55.1605773
"The Address Sky View Tower 2, The Address Residence Sky View, Downtown Dubai, Dubai",25.2016993,55.2712869
"The Address The Blvd, Downtown Dubai, Dubai",25.2009677,55.2762069
"The Fairmont Palm Residence South, The Fairmont Palm Residences, Palm Jumeirah, Dubai",25.1103333,55.1406946
"The Meadows 6, The Meadows, Dubai",25.2048493,55.2707828
"Pantheon Elysee II, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25.0515092,55.2170728
"Amna, Al Habtoor City, Business Bay, Dubai",25.1841785,55.254316
"Zanzebeel 3, Zanzebeel, Old Town, Downtown Dubai, Dubai",25.1895925,55.2737625
"Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0502178,55.2135276
"Mediterranean Tower, Canal Residence West, Dubai Sports City, Dubai",25.0381534,55.2210473
"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai",25.1984429,55.2707577
"Vezul Tower, Business Bay, Dubai",25.1801043,55.2771626
"The Pad, Business Bay, Dubai",25.1848061,55.2818955
"AG Tower, Business Bay, Dubai",25.1796099,55.269205
"Amaranta B, Amaranta, Villanova, Dubailand, Dubai",25.0804099,55.3618257
"Marji 1 Building, Al Shuwaihean, Sharjah",25.3612014,55.389312
"Jenna Main Square 2, Jenna Main Square, Town Square, Dubai",25.0002811,55.2922053
"Residences 5, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai",25.1663758,55.2766574
"Orra Harbour Residences, Dubai Marina, Dubai",25.0778808,55.1418676
"District One Villas, District One, Mohammed Bin Rashid City, Dubai",25.1663758,55.2766574
"AL Telal 12 Building, Jumeirah 1, Jumeirah, Dubai",25.2274535,55.2612202
"The Meadows 9, The Meadows, Dubai",25.2048493,55.2707828
"Al Hamri, Shoreline Apartments, Palm Jumeirah, Dubai",25.1066865,55.1491811
"Dorra Bay, Dubai Marina, Dubai",25.0714773,55.1287892
"Mon Reve, Downtown Dubai, Dubai",25.1942446,55.2827236
"Nicholas Residence, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25.0550125,55.2114463
"District 8A, JVT District 8, Jumeirah Village Triangle (JVT), Dubai",25.039568,55.17083
"Spring, Arabian Ranches 3, Dubai",25.0523684,55.2673602
"Arabian Villas, JVT District 8, Jumeirah Village Triangle (JVT), Dubai",25.039568,55.17083
"The Fairways West, The Fairways, The Views, Dubai",25.0894273,55.1708615
"The Aldea, The Villa, Dubai",25.0876881,55.3613635
"Flora, DAMAC Hills, Dubai",25.0234196,55.2578854
"Beauport, Marina Promenade, Dubai Marina, Dubai",25.0747985,55.1336385
"Savannah 1, Savannah, Arabian Ranches, Dubai",25.0552114,55.2757993
"Al Majara 5, Al Majara, Dubai Marina, Dubai",25.073821,55.1368666
"Park Heights 1, Park Heights, Dubai Hills Estate, Dubai",25.1129375,55.2463678
"Phoenix, DAMAC Hills, Dubai",25.0197559,55.2546491
"Topanga, The Park Villas, DAMAC Hills, Dubai",25.0260254,55.2515138
"Giovanni Boutique Suites, Dubai Sports City, Dubai",25.0320227,55.222943
"The Terraces, Sobha Hartland, Dubai",25.1769069,55.3107258
"Marina Residences 2, Marina Residences, Palm Jumeirah, Dubai",25.1136985,55.13665
"Haven Villas, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25.065054,55.2057745
"Miraclz Tower by Danube, Arjan, Dubai",25.0583148,55.2389134
"Entertainment Foyer, Oasis Cluster, Jumeirah Islands, Dubai",25.058,55.15368
"The Address Sky View Tower 1, The Address Residence Sky View, Downtown Dubai, Dubai",25.2023862,55.2706231
"Sandoval Garden Block B, Sandoval Garden, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0573931,55.2060997
"Vida Residences Dubai Marina, Dubai Marina, Dubai",25.0722647,55.1358558
"Bayz by Danube, Business Bay, Dubai",25.1808454,55.2792744
"Sun, Arabian Ranches 3, Dubai",25.0682759,55.3213694
"Hera Tower, Dubai Sports City, Dubai",25.0403885,55.2225976
"Roxana Residence A, Roxana Residences, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25.0577358,55.2171172
"Dubai Style, Al Furjan, Dubai",25.0251668,55.1458611
"New Dubai Gate 1, JLT Cluster Q, Jumeirah Lake Towers (JLT), Dubai",25.076447,55.146011
"Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",25.0769441,55.1341346
"Garden Homes Frond C, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",25.1246033,55.1385648
"Al Seef Tower 2, JLT Cluster U, Jumeirah Lake Towers (JLT), Dubai",25.0795315,55.1516448
"Marina Crown, Dubai Marina, Dubai",25.0898792,55.1482325
"Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai",25.1937032,55.2725735
"Carson Tower A, Carson - The Drive, DAMAC Hills, Dubai",25.0254132,55.2444596
"The Springs 10, The Springs, Dubai",25.0571736,55.1810505
"The Links West Tower, The Links, The Views, Dubai",25.0909654,55.1695229
"Samana Hills, Arjan, Dubai",25.0674383,55.2476761
"Palma, Arabian Ranches 2, Dubai",25.0331427,55.272887
"Hyati Residences, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0476359,55.1985749
"Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",25.2068836,55.3442211
"Mazaya 23, Queue Point, Liwan, Dubai",25.103375,55.3674946
"15 Northside, Business Bay, Dubai",25.1866696,55.2865019
"Entertainment Foyer, European Cluster, Jumeirah Islands, Dubai",25.058,55.15368
"The Square Tower, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0465373,55.2062068
"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai",25.052724,55.2010914
"Princess Tower, Dubai Marina, Dubai",25.0887804,55.1468951
"Downtown Views II, Za'abeel 2, Za'abeel, Dubai",25.2024286,55.2809328
"Azizi Star, Al Furjan, Dubai",25.0251668,55.1458611
"Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.0559406,55.2011756
"The Grand, Dubai Creek Harbour, Dubai",25.2089222,55.3439542
"Croesus, Majan, Dubai",25.0950031,55.3178936
"Bonaire Tower, Park Island, Dubai Marina, Dubai",25.0820935,55.1423689
"Breeze, Dubai Creek Harbour, Dubai",25.1945448,55.3641298
"Zaya Hameni, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.0563424,55.2051171
"Al Reem 1, Al Reem, Arabian Ranches, Dubai",25.0585254,55.2926931
"The Voleo, Business Bay, Dubai",25.1927942,55.2888388
"Vida Residence 3, Vida Residence (The Hills), The Hills, Dubai",25.0781764,55.1588745
"Richmond, The Park Villas, DAMAC Hills, Dubai",24.9879316,55.3749762
"Elite Sports Residence 6, Elite Sports Residence, Dubai Sports City, Dubai",25.0416396,55.2176898
"The Neighbourhood, Al Barari, Dubai",25.1005993,55.3130082
"Attareen, The Old Town Island, Downtown Dubai, Dubai",25.1919423,55.2759977
"Rahat, Mudon, Dubai",25.0234353,55.2716551
"DAMAC Maison Majestine, Business Bay, Dubai",25.186457,55.282055
"Arabian Gates, Dubai Silicon Oasis, Dubai",25.1229042,55.3982873
"MBL Residences, JLT Cluster K, Jumeirah Lake Towers (JLT), Dubai",25.0671364,55.1397512
"Al Andalus Tower A, Al Andalus, Jumeirah Golf Estates, Dubai",25.0302218,55.2048585
"Bloom Tower B, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25.0671171,55.2034265
"La Rive Tower 2, La Rive, Port De La Mer, La Mer, Jumeirah, Dubai",25.2396355,55.2528013
"Polo Residence, Meydan Avenue, Meydan City, Dubai",25.1509242,55.2959054
"Paramount Hotel & Residences, Business Bay, Dubai",25.1832074,55.2728756
"Rosa, Arabian Ranches 2, Dubai",25.0368369,55.2746036
"Lila, Arabian Ranches 2, Dubai",25.0331427,55.272887
"Anantara Residences - North, Anantara Residences, Palm Jumeirah, Dubai",25.1313252,55.1529958
"DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",25.0531125,55.1989628
"Balqis Residence, Kingdom Of Sheba, Palm Jumeirah, Dubai",25.1201405,55.1103761
"Golf Tower 1, Golf Tower, The Views, Dubai",25.0922161,55.1682184
"Lakeside Tower D, Lakeside, Dubai Production City (IMPZ), Dubai",25.0367514,55.2006457
"Mira Oasis 1, Mira Oasis, Reem, Dubai",25.0101779,55.2986885
"Fairfield Tower, Park Island, Dubai Marina, Dubai",25.0816782,55.142024
"The Bay, Business Bay, Dubai",25.1908744,55.2909954
"Ajman Pearl Towers, Ajman Downtown, Ajman",25.3926652,55.4672617
"Uniestate Sports Tower, Dubai Sports City, Dubai",25.039635,55.2039654
"Travo Tower A, Travo, The Views, Dubai",25.0908933,55.1718405
"Amaranta 2, Amaranta, Villanova, Dubailand, Dubai",25.0693464,55.3533325
"Luma21, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0507584,55.2052472
"SLS Dubai Hotel & Residences, Business Bay, Dubai",25.1846151,55.2923476
"Jasmine Leaf 4, Jasmine Leaf, The Residences, Al Barari, Dubai",25.0958999,55.3063624
"Al Ghaf 3, Al Ghaf, The Greens, Dubai",25.0963234,55.169935
"Lucky 1 Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0480853,55.2063408
"Marina Quays West, Marina Quays, Dubai Marina, Dubai",25.0767236,55.1368735
"Park View Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0544237,55.20305
"Bay Central (Central Tower), Bay Central, Dubai Marina, Dubai",25.0786645,55.1375328
"Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",25.191536,55.273404
"Azizi Riviera 4, Azizi Riviera, Meydan One, Meydan City, Dubai",25.1734161,55.3076972
"Al Majara 1, Al Majara, Dubai Marina, Dubai",25.074175,55.137704
"La Rive Tower 1, La Rive, Port De La Mer, La Mer, Jumeirah, Dubai",25.2396355,55.2528013
"District 7, Jumeirah Park, Dubai",25.0405747,55.168781
"Azizi Riviera 12, Azizi Riviera, Meydan One, Meydan City, Dubai",25.171266,55.3009363
"Nasayem Avenue, Mirdif Hills, Mirdif, Dubai",25.2249076,55.4412764
"Sidra 2, Sidra Villas, Dubai Hills Estate, Dubai",25.0998183,55.2504535
"UNA Apartments, Town Square, Dubai",25.0037599,55.2859332
"Shams 1, Shams, Jumeirah Beach Residence (JBR), Dubai",25.0769441,55.1341346
"Creek Horizon Tower 1, Creek Horizon, Dubai Creek Harbour, Dubai",25.2063429,55.3452329
"Vida Residence 2, Vida Residence (The Hills), The Hills, Dubai",25.0781764,55.1588745
"Axis Residences One 2, Axis Residences, Dubai Silicon Oasis, Dubai",25.1214717,55.3967708
"Golden Mile 3, Golden Mile, Palm Jumeirah, Dubai",25.1068578,55.1472338
"Mira 4, Mira, Reem, Dubai",25.0589782,55.2957196
"Yacht Bay, Dubai Marina, Dubai",25.0713434,55.1369534
"Royal Bay, Palm Jumeirah, Dubai",25.1124317,55.138978
"Tajer Residence, The Old Town Island, Downtown Dubai, Dubai",25.1958043,55.2776775
"Chaimaa Avenue 2, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.052046,55.212184
"Regional Large, Regional, Jumeirah Park, Dubai",25.0471279,55.1555195
"Marina Quays East, Marina Quays, Dubai Marina, Dubai",25.0773431,55.1367796
"LIV Residence, Dubai Marina, Dubai",25.0811201,55.1406701
"Green Diamond 1 Tower A, Green Diamond 1, Arjan, Dubai",25.2048493,55.2707828
"Sadaf 5, Sadaf, Jumeirah Beach Residence (JBR), Dubai",25.0809636,55.1375403
"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi",24.4903171,54.3963816
"Alma 1, Alma, Arabian Ranches, Dubai",25.0530418,55.2662203
"Burj Views A, Burj Views, Downtown Dubai, Dubai",25.190671,55.281873
"Kempinski Palm Residence, The Crescent, Palm Jumeirah, Dubai",25.112986,55.109073
"Vera Residences, Business Bay, Dubai",25.1868571,55.2829892
"Tennis Tower, Dubai Sports City, Dubai",25.0419529,55.2054674
"The Signature, Downtown Dubai, Dubai",25.1949849,55.2784141
"Elite Sports Residence 10 Block B, Elite Sports Residence 10, Elite Sports Residence, Dubai Sports City, Dubai",25.0364344,55.2059746
"Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis, Dubai",25.1169625,55.3911833
"Liberty House, DIFC, Dubai",25.2090478,55.277205
"Joya Blanca Residences, Arjan, Dubai",25.0644521,55.2309653
"Parkside Residence A, Parkside Residence, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",24.4976843,54.4110093
"Elite Residence, Dubai Marina, Dubai",25.0895735,55.1478445
"Emerald, Tiara Residences, Palm Jumeirah, Dubai",25.1159397,55.1407374
"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour, Dubai",25.2084896,55.3472011
"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai",25.1086359,55.1465079
"Goldcrest Executive, JLT Cluster C, Jumeirah Lake Towers (JLT), Dubai",25.068834,55.139739
"The Address Dubai Mall, Downtown Dubai, Dubai",25.1998429,55.277452
"Sobha Creek Vistas Tower A, Sobha Creek Vistas, Sobha Hartland, Dubai",25.1769069,55.3107258
"Signature Villas Frond B, Signature Villas Palm Jumeirah, Palm Jumeirah, Dubai",25.1221083,55.1402132
"5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",25.0805422,55.1403426
"Escan Marina Tower, Dubai Marina, Dubai",25.0683427,55.1330463
"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",25.0228736,55.2427461
"DEC Tower 2, DEC Towers, Dubai Marina, Dubai",25.0682879,55.1296944
"Candace Aster, Al Furjan, Dubai",25.0263372,55.1570487
"The Address Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai",25.1948261,55.2828596
"Murjan 5, Murjan, Jumeirah Beach Residence (JBR), Dubai",25.0819162,55.1403809
"The Meadows 8, The Meadows, Dubai",25.2048493,55.2707828
"Trident Grand Residence, Dubai Marina, Dubai",25.0831549,55.140903
"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",25.0874245,55.1464733
"Zanzebeel 2, Zanzebeel, Old Town, Downtown Dubai, Dubai",25.1889253,55.2741824
"Binghatti Avenue, Al Jaddaf, Dubai",25.2125439,55.3161225
"The Nook 2, The Nook, Wasl Gate, Dubai",25.0245626,55.1031596
"Gafat Al Nayyar, Zakhir, Al Ain",24.127896,55.6793158
"Bahwan Tower, Downtown Dubai, Dubai",25.1904524,55.2707713
"Fortunato, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25.0617417,55.2123317
"The Springs 1, The Springs, Dubai",25.0611087,55.1606941
"MAG 318, Business Bay, Dubai",25.1905143,55.2830458
"Samana Greens, Arjan, Dubai",25.0631235,55.243243
"Al Badi Complex, Mirdif, Dubai",25.2196159,55.4194753
"Al Raha Lofts 1, Al Raha Lofts, Al Raha Beach, Abu Dhabi",24.4494219,54.6088671
"The Cosmopolitan, Business Bay, Dubai",25.1831647,55.272887
"Shams 2, Shams, Jumeirah Beach Residence (JBR), Dubai",25.0724852,55.1308075
"Chaimaa Avenue Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0513576,55.2129235
"Marina Residences 6, Marina Residences, Palm Jumeirah, Dubai",25.1162524,55.1397705
"Autumn 1 Block B, Autumn, Seasons Community, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.058565,55.201958
"Al Shera Tower, JLT Cluster E, Jumeirah Lake Towers (JLT), Dubai",25.0713252,55.1418084
"Jasmine A, Jasmine, DAMAC Hills, Dubai",25.012842,55.253595
"Burj Views Podium, Burj Views, Downtown Dubai, Dubai",25.190671,55.281873
"R04 Building, International City Phase 2 (Warsan 4), International City, Dubai",25.1481822,55.4009738
"Snooker Point Building, Oud Metha, Bur Dubai, Dubai",25.238692,55.3072499
"Clayton Residency, Business Bay, Dubai",25.18283,55.282693
"Bay Central West, Bay Central, Dubai Marina, Dubai",25.0785015,55.1373454
"The Springs 2, The Springs, Dubai",25.0564431,55.1686291
"Julphar Residence, Al Reem Island, Abu Dhabi",24.4932132,54.4004995
"Kensington Manor, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0479893,55.2074353
"Sparkle Tower 2, Sparkle Towers, Dubai Marina, Dubai",25.0714847,55.1321149
